acceptera accepterar accepterade accepterat
hyvla hyvlar hyvlade hyvlat
hålla håller höll hållit
håna hånar hånade hånat
häcka häckar häckade häckat
häfta häftar häftade häftat
häkta häktar häktade häktat
hälla hällar hällde hällt
hälsa hälsar hälsade hälsat
hämta hämtar hämtade hämtat
hända händer hände hänt
hänga hänger hängde hängt
häva häver hävde hävt
hävda hävdar hävdade hävdat
höra hör hörde hört
ingå ingår ingick ingått
inse inser insåg insett
intressera intresserar intresserade intresserat
invadera invaderar invaderade invaderat
irritera irriterar irriterade irriterat
jobba jobbar jobbade jobbat
jogga joggar joggade joggat
justera justerar justerade justerat
jämföra jämför jämförde jämfört
jämna jämnar jämnade jämnat 
jämra jämrar jämrade jämrat
jämställa jämställer jämställde jämställt
kamma kammar kammade kammat
kasta kastar kastade kastat
kela kelar kelade kelat
kladda kladdar kladdade kladdat
klaga klagar klagade klagat
klamra klamrar klamrade klamrat
klara klarar klarade klarat
klassificera klassificerar klassificerade klassificerat
klippa klipper klippte klippt
klä klär klädde klätt
kläda kläder klädde klätt
klämma klämmer klämde klämt
knyta knyter knöt knutit
koka kokar kokade kokat
kolla kollar kollade kollat
kolonisera koloniserar koloniserade koloniserat
kombinera kombinerar kombinerade kombinerat 
komma kommer kom kommit
kommunicera kommunicerar kommunicerade kommunicerat
koncentrera koncentrerar koncentrerade koncentrerat
koppla kopplar kopplade kopplat
kosta kostar kostade kostat
krama kramar kramade kramat
krocka krockar krockade krockat
krympa krymper krympte krympt
krypa kryper kröp krupit
kunna kan kunde kunnat
kämpa kämpar kämpade kämpat
känna känner kände känt
köa köar köade köat
köpa köper köpte köpt
köra kör körde kört
laga lagar lagade lagat
landa landar landade landat
lasta lastar lastade lastat
le ler log lett
ledsna ledsnar ledsnade ledsnat
leka leker lekte lekt
leta letar letade letat
leva lever levde levt
lida lider led lidit
likna liknar liknade liknat
lindra lindrar lindrade lindrat
lista listar listade listat
lita litar litade litat
ligga ligger låg legat
ljuga ljuger ljög ljugit
ljusna ljusnar ljusnade ljusnat
locka lockar lockade lockat
lova lovar lovade lovat
lugna lugnar lugnade lugnat
lukta luktar luktade luktat
*lycka lyckar lyckade lyckat
lyckas lyckas lyckades lyckats
lysa lyser lyste lyst
lyssna lyssnar lyssnade lyssnat
låta låter lät låtit
låtsa låtsar låtsade låtsat
lägga lägger la lagt
lämna lämnar lämnade lämnat
längta längtar längtade längtat
lära lär lärde lärt
läsa läser läste läst
lösa löser löste löst
markerade markerar markerade markerat
meddela meddelar meddelade meddelat
mena menar menade menat
militarisera militariserar militariserade militariserat
*minna minner minde mint
minnas minns mindes mints
missförstå missförstår missförstod missförstått
*misslycka misslyckar misslyckade misslyckat
misslyckas misslyckas misslyckades misslyckats
motverka motverkar motverkade motverkat
må mår mådde mått
måla målar målade målat
måsta måste måste måst
märka märker märkte märkt
mörka mörkar mörkade mörkat
mörkna mörknar mörknade mörknat
möjliggöra möjliggör möjliggjorde möjliggjort
möta möter mötte mött
njuta njuter njöt njutit
nämna nämner nämnde nämnt
observera observerar observerade observerat
oja ojar ojade ojat
omge omger omgav omgivit
omkomma omkommer omkom omkommit
omringa omringar omringade omringat
orka orkar orkade orkat
